T,dataset_sec,inference_sec
25,0.019851193198235705,0.011662749981041998
30,0.022599008199060334,0.012045150011545047
35,0.0227114737998927,0.01229740001144819
40,0.019897685197764078,0.012583900010213256
45,0.019991188597632572,0.01332034997176379
50,0.019982795399846508,0.013275449979119003
55,0.020313106800662353,0.014421850006328896
60,0.02039216520066839,0.012373349978588521
65,0.020029526000260374,0.01368495001224801
70,0.020647632598993368,0.012552500003948808
75,0.020135525599936956,0.013228600029833615
80,0.02017743059981149,0.016266049991827458
85,0.020895956801134163,0.014928100019460544
90,0.020626610600738785,0.014457249984843656
95,0.020365280399215407,0.013114500005031005
100,0.022276948399841786,0.01377084999694489
105,0.021110593401594088,0.01280784999835305
110,0.02026046719995793,0.012950400006957352
115,0.020244171599741095,0.013838800019584596
120,0.0222883093993878,0.014049649995286018
125,0.023279219001182357,0.014664849994005635
130,0.022781751200906,0.01685929999803193
135,0.022573825202416627,0.013856300007319078
140,0.02174618319910951,0.013651999994181097
145,0.023678372399182992,0.015189600002486259
150,0.02245545400120318,0.013551000010920689
155,0.02252927800139878,0.014251249958761036
160,0.022642649800051005,0.015188499994110316
165,0.023291939400485715,0.016127649985719472
170,0.021892325200489723,0.014196100004483014
175,0.021342158200219275,0.021658599987858906
180,0.02162107079848647,0.014501500001642853
185,0.02231636299798265,0.015479749999940395
190,0.022155143600772136,0.015059400000609457
195,0.021786867400631307,0.01364925000234507
200,0.02195099059853237,0.014893800020217896
